Input,Base Model Output,Fine-tuned Output,Match
"With no problems, I'm happy with this purchase because I saved money compared to buying it anywhere else.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""purchase"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""purchase"",""polarity"":""positive""}]}",False
Incredible graphics and brilliant colors.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""graphics"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""colors"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""graphics cards or similar products"",""aspects"":[{""term"":""Graphics"",""polarity"":""positive""},{""term"":""Colors"",""polarity"":""positive""}]}",False
I needed something affordable from Apple and was tired of dealing with PC laptop after PC laptop.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptops"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""affordable"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""affordable"",""polarity"":""positive""},{""term"":""PC laptop"",""polarity"":""negative""}]}",False
Just bit the bullet and bought the Mac hoping it will last a lot longer.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Mac"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Mac"",""polarity"":""neutral""}]}",False
Builtin apps are purely amazing.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""built-in apps"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Built-in apps"",""polarity"":""positive""}]}",False
Cons Screen resolution.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Screen resolution"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Screen resolution"",""polarity"":""neutral""}]}",False
From the speed to the multi touch gestures this operating system beats Windows easily.,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""operating system"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Speed"",""polarity"":""positive""},{""term"":""Multi touch gestures"",""polarity"":""positive""}]}",False
I really like the size and I'm a fan of the ACERS.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""size"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""ACERS"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Size"",""polarity"":""positive""},{""term"":""ACERS"",""polarity"":""positive""}]}",False
"This is by far thee best, most reliable computer I could find.","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""computer"",""polarity"":""positive""}]}",False
"I opted for the SquareTrade 3Year Computer Accidental Protection Warranty 15002000 which also support ""accidents"" like drops and spills that are NOT covered by AppleCare.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""SquareTrade 3Year Computer Accidental Protection Warranty"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""AppleCare"",
            ""polarity"": ""negative""
        }","{""domain"":""electronics"",""aspects"":[{""term"":""SquareTrade 3Year Computer Accidental Protection Warranty"",""polarity"":""positive""},{""term"":""AppleCare"",""polarity"":""negative""}]}",False
It's light and easy to transport.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""light"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""easy to transport"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Lightness"",""polarity"":""positive""},{""term"":""Ease of transportation"",""polarity"":""positive""}]}",False
Once you get past learning how to use the poorly designed Windows 8 SetUp you may feel frustrated.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""Windows 8 Setup"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Windows 8 SetUp"",""polarity"":""negative""}]}",False
Very powerful especially for the money.,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""powerful"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Powerful"",""polarity"":""positive""}]}",False
"When my Dell laptop gave up only after 2 12 years, I decided to buy MacBook Pro.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""MacBook Pro"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Dell laptop"",""polarity"":""negative""},{""term"":""MacBook Pro"",""polarity"":""positive""}]}",False
"It's been time for a new laptop, and the only debate was which size of the Mac laptops, and whether to spring for the retina display.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""Mac laptops"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""ret","{""domain"":""electronics"",""aspects"":[{""term"":""Mac laptops"",""polarity"":""neutral""},{""term"":""Size"",""polarity"":""neutral""},{""term"":""Retina display"",""polarity"":""neutral""}]}",False
This was a significantly more affordable than getting a new MacBook Pro from Apple.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MacBook Pro"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""affordable"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""affordability"",""polarity"":""positive""},{""term"":""MacBook Pro"",""polarity"":""negative""}]}",False
I have always wanted a MacBook Pro.....always!,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MacBook Pro"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""MacBook Pro"",""polarity"":""positive""}]}",False
The reason why I choose apple MacBook because of their design and the aluminum casing.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MacBook"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""design"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""aluminum","{""domain"":""electronics"",""aspects"":[{""term"":""Design"",""polarity"":""positive""},{""term"":""Aluminum casing"",""polarity"":""positive""}]}",False
The aluminum body sure makes it stand out.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""aluminum body"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Aluminum body"",""polarity"":""positive""}]}",False
"Overall it's an amazing product, 5 stars!","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""product"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Product"",""polarity"":""positive""}]}",False
"It is very easy to integrate bluetooth devices, and USB devices are recognized almost instantly.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""bluetooth devices"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""USB devices"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Bluetooth integration"",""polarity"":""positive""},{""term"":""USB device recognition"",""polarity"":""positive""}]}",False
He's thrilled with his new laptop.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""laptop"",""polarity"":""positive""}]}",False
Amazing product as you would expect from Apple.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""product"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Product"",""polarity"":""positive""}]}",False
Nothing wrong with this computer at all!,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Computer"",""polarity"":""positive""}]}",False
"And the fact that Apple is driving the 13"" RMBP with the Intel4000 graphic chip seems underpowered to me.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""Apple"",
            ""polarity"": ""negative""
        },
        {
            ""term"": ""RMBP"",
            ""polarity"": ""neutral""
        },
        {
            ""term"": ""Intel","{""domain"":""electronics"",""aspects"":[{""term"":""Apple"",""polarity"":""neutral""},{""term"":""13\"" RMBP"",""polarity"":""negative""},{""term"":""Intel4000 graphic chip"",""polarity"":""negative""}]}",False
I have to wonder why Amazon is even selling this dinosaur.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""dinosaur"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Amazon"",""polarity"":""negative""},{""term"":""dinosaur"",""polarity"":""negative""}]}",False
Apple removed the DVD drive Firewire port will work with adapter and put the SDXC slot in a silly position on the back.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""DVD drive"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""Firewire port"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""","{""domain"":""electronics"",""aspects"":[{""term"":""DVD drive"",""polarity"":""negative""},{""term"":""Firewire port"",""polarity"":""neutral""},{""term"":""SDXC slot"",""polarity"":""negative""}]}",False
No hassle and no complaints.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""no hassle"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""no complaints"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""No hassle"",""polarity"":""positive""},{""term"":""No complaints"",""polarity"":""positive""}]}",False
"LOVE IT I've always been an apple fan boy, but never had the money to buy a mac, only ipads and iphones, and this is my first mac, blew me away completely.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""mac"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""ipad"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""iphone"",","{""domain"":""electronics"",""aspects"":[{""term"":""mac"",""polarity"":""positive""}]}",False
The durability of the laptop will make it worth the money.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Durability"",""polarity"":""positive""}]}",False
Well designed and fast.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""well-designed"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""fast"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Well designed"",""polarity"":""positive""},{""term"":""Fast"",""polarity"":""positive""}]}",False
And now I am a proud MacBook owner also!,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MacBook"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""MacBook"",""polarity"":""positive""}]}",False
"But I was completely wrong, this computer is UNBELIEVABLE amazing and easy to use.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""unbelievable"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""am","{""domain"":""electronics"",""aspects"":[{""term"":""computer"",""polarity"":""positive""}]}",False
Exactly as posted plus a great value.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""value"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""value"",""polarity"":""positive""}]}",False
The specs are pretty good too.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""specs"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Specs"",""polarity"":""positive""}]}",False
"I am having a friend look at it , but will probably return it.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""friend looking at it"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""returning it"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""friend's opinion"",""polarity"":""neutral""},{""term"":""returning it"",""polarity"":""negative""}]}",False
